userid,projectid,date,feasibilityRate,feasibilityScore
6296f2aeba256000d93d4ccf,6296f2fdc41fdf00ce7401e7,2022-06-01,5.0,25.0
6296f2aeba256000d93d4ccf,6296f3e5d55945018e4492dc,2022-06-01,4.81,24.05
6296f2aeba256000d93d4ccf,62970deccfcd8800fe77f968,2022-06-01,4.8,24.0
6296f2aeba256000d93d4ccf,62970f4229a37b00fe4b39dd,2022-06-01,4.81,24.05
6296f2aeba256000d93d4ccf,6299a5a57cd4e000da075d93,2022-06-03,4.79,23.95
6296f2aeba256000d93d4ccf,629acf930e52b1002cb14ea8,2022-06-04,4.86,24.3
6296f2aeba256000d93d4ccf,62a05dbf76d06501d6483c4c,2022-06-08,5.87,29.35
6296f2aeba256000d93d4ccf,62a30506512faa03cee5387f,2022-06-12,4.62,23.1
6296f2aeba256000d93d4ccf,62aeabbe568dc3055aab6fe0,2022-06-19,3.16,15.8
6296f2aeba256000d93d4ccf,62b581f52558010602e79dd6,2022-06-24,7.31,36.55
62b910c05382d30037ccad4c,62b916da4b21c6001a74bcbc,2022-06-27,3.5,17.5
62b910c05382d30037ccad4c,62b91ffc4a8e9101bf91dd4d,2022-06-27,4.86,24.3
62b910c05382d30037ccad4c,62bea170887afd004aaba5c1,2022-07-01,8.88,44.4
6296f2aeba256000d93d4ccf,62c54c8098a02100377e10bb,2022-07-06,7.3,36.5
62b910c05382d30037ccad4c,62cb82290aca62d0b7a3805c,2022-07-11,4.62,23.1
62dbf1b2e7277c03b6153ee6,62de9cff1ce9a60037fc183d,2022-07-26,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e0a0970566c7048e6fe7aa,2022-07-27,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e0a86e0c478e042d23517f,2022-07-27,2.5,12.5
62dbf1b2e7277c03b6153ee6,62e0ad3050ff8b002ce20b1d,2022-07-27,1.49,7.45
62dbf1b2e7277c03b6153ee6,62e14289219f88001bb02dea,2022-07-27,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e2870f49e09b004a11dee3,2022-07-28,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e292f849e09b004a11e130,2022-09-15,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e609472c5da7006e8565e1,2022-08-13,0.53,2.65
62dbf1b2e7277c03b6153ee6,62e644867495b2007a7aad69,2022-07-31,0.0,0.0
62dbf1b2e7277c03b6153ee6,62e66d2e0798b5006e8b5157,2022-07-31,0.28,1.4
62dbf1b2e7277c03b6153ee6,62e91eddcfcac900259eec4d,2022-08-02,0.55,2.75
62dbf1b2e7277c03b6153ee6,62eba6bf1b09a70037b676e9,2022-08-04,2.88,14.4
62dbf1b2e7277c03b6153ee6,62ee5f01469dd5002c0d1132,2022-09-15,2.35,11.75
62dbf1b2e7277c03b6153ee6,62ee6569092bc5006208687f,2022-08-06,1.14,5.7
62dbf1b2e7277c03b6153ee6,62fdae64a777bd022aa7a00a,2022-09-14,3.43,17.15
62dbf1b2e7277c03b6153ee6,63006a4b3a351f01faab9f4a,2022-08-20,2.63,13.15
62de387d042c4e03aab35a8b,63045b6497adf20258f0d1e3,2022-08-23,5.31,26.55
62dbf1b2e7277c03b6153ee6,630d99d18ee2df020343e4b7,2022-08-30,2.57,12.85
6296f2aeba256000d93d4ccf,630f477e1436bf0025386543,2022-08-31,2.18,10.9
6296f2aeba256000d93d4ccf,631079b7cb797c001a3d6319,2022-09-01,3.26,16.3
6296f2aeba256000d93d4ccf,6310877d115387001a154968,2022-09-01,4.33,21.65
6296f2aeba256000d93d4ccf,6311ae8feeeefd0062e5e5d7,2022-09-02,3.15,15.75
6296f2aeba256000d93d4ccf,6311cda039ad1300251d602e,2022-09-02,3.43,17.15
62de387d042c4e03aab35a8b,631989b039f101006321a78d,2022-09-08,3.15,15.75
62dbf1b2e7277c03b6153ee6,632276faf8cbf5001ac306d8,2022-09-16,2.69,13.45
62de387d042c4e03aab35a8b,6322b7c64a129b0092a631c0,2022-09-15,1.83,9.15
62dbf1b2e7277c03b6153ee6,63254499de4d7103536c5b1c,2022-09-18,0.0,0.0
62dbf1b2e7277c03b6153ee6,632903b903a5af025a60b30a,2022-09-23,6.08,30.4
62de387d042c4e03aab35a8b,632c0551417b2f03c0e8a6b5,2022-09-22,4.4,22.0
62dbf1b2e7277c03b6153ee6,632d48ffe97388006f3d1971,2022-09-25,4.18,20.9
62dbf1b2e7277c03b6153ee6,6330e12bbeaea300aa24e1e0,2022-09-26,4.21,21.05
