userid,projectid,date,logicalScore
6296f2aeba256000d93d4ccf,6296f2fdc41fdf00ce7401e7,2022-06-01,38.81
6296f2aeba256000d93d4ccf,6296f3e5d55945018e4492dc,2022-06-01,37.77
6296f2aeba256000d93d4ccf,62970deccfcd8800fe77f968,2022-06-01,37.78
6296f2aeba256000d93d4ccf,62970f4229a37b00fe4b39dd,2022-06-01,37.77
6296f2aeba256000d93d4ccf,6299a5a57cd4e000da075d93,2022-06-03,37.76
6296f2aeba256000d93d4ccf,629acf930e52b1002cb14ea8,2022-06-04,34.09
6296f2aeba256000d93d4ccf,62a05dbf76d06501d6483c4c,2022-06-08,41.03
6296f2aeba256000d93d4ccf,62a30506512faa03cee5387f,2022-06-12,37.34
6296f2aeba256000d93d4ccf,62aeabbe568dc3055aab6fe0,2022-06-19,33.63
6296f2aeba256000d93d4ccf,62b581f52558010602e79dd6,2022-06-24,42.85
62b910c05382d30037ccad4c,62b916da4b21c6001a74bcbc,2022-06-27,30.56
62b910c05382d30037ccad4c,62b91ffc4a8e9101bf91dd4d,2022-06-27,32.14
62b910c05382d30037ccad4c,62bea170887afd004aaba5c1,2022-07-01,44.23
6296f2aeba256000d93d4ccf,62c54c8098a02100377e10bb,2022-07-06,42.85
62b910c05382d30037ccad4c,62cb82290aca62d0b7a3805c,2022-07-11,34.13
62dbf1b2e7277c03b6153ee6,62de9cff1ce9a60037fc183d,2022-07-26,25.0
62dbf1b2e7277c03b6153ee6,62e0a0970566c7048e6fe7aa,2022-07-27,25.0
62dbf1b2e7277c03b6153ee6,62e0a86e0c478e042d23517f,2022-07-27,31.25
62dbf1b2e7277c03b6153ee6,62e0ad3050ff8b002ce20b1d,2022-07-27,29.16
62dbf1b2e7277c03b6153ee6,62e14289219f88001bb02dea,2022-07-27,25.0
62dbf1b2e7277c03b6153ee6,62e2870f49e09b004a11dee3,2022-07-28,25.0
62dbf1b2e7277c03b6153ee6,62e292f849e09b004a11e130,2022-09-15,25.0
62dbf1b2e7277c03b6153ee6,62e609472c5da7006e8565e1,2022-08-13,26.54
62dbf1b2e7277c03b6153ee6,62e644867495b2007a7aad69,2022-07-31,25.0
62dbf1b2e7277c03b6153ee6,62e66d2e0798b5006e8b5157,2022-07-31,25.0
62dbf1b2e7277c03b6153ee6,62e91eddcfcac900259eec4d,2022-08-02,26.61
62dbf1b2e7277c03b6153ee6,62eba6bf1b09a70037b676e9,2022-08-04,34.62
62dbf1b2e7277c03b6153ee6,62ee5f01469dd5002c0d1132,2022-09-15,36.41
62dbf1b2e7277c03b6153ee6,62ee6569092bc5006208687f,2022-08-06,27.27
62dbf1b2e7277c03b6153ee6,62fdae64a777bd022aa7a00a,2022-09-14,32.26
62dbf1b2e7277c03b6153ee6,63006a4b3a351f01faab9f4a,2022-08-20,31.58
62de387d042c4e03aab35a8b,63045b6497adf20258f0d1e3,2022-08-23,36.54
62dbf1b2e7277c03b6153ee6,630d99d18ee2df020343e4b7,2022-08-30,33.73
6296f2aeba256000d93d4ccf,630f477e1436bf0025386543,2022-08-31,29.0
6296f2aeba256000d93d4ccf,631079b7cb797c001a3d6319,2022-09-01,35.62
6296f2aeba256000d93d4ccf,6310877d115387001a154968,2022-09-01,37.32
6296f2aeba256000d93d4ccf,6311ae8feeeefd0062e5e5d7,2022-09-02,32.14
6296f2aeba256000d93d4ccf,6311cda039ad1300251d602e,2022-09-02,32.81
62de387d042c4e03aab35a8b,631989b039f101006321a78d,2022-09-08,32.14
62dbf1b2e7277c03b6153ee6,632276faf8cbf5001ac306d8,2022-09-16,38.43
62de387d042c4e03aab35a8b,6322b7c64a129b0092a631c0,2022-09-15,29.17
62dbf1b2e7277c03b6153ee6,63254499de4d7103536c5b1c,2022-09-18,25.0
62dbf1b2e7277c03b6153ee6,632903b903a5af025a60b30a,2022-09-23,39.29
62de387d042c4e03aab35a8b,632c0551417b2f03c0e8a6b5,2022-09-22,35.0
62dbf1b2e7277c03b6153ee6,632d48ffe97388006f3d1971,2022-09-25,38.18
62dbf1b2e7277c03b6153ee6,6330e12bbeaea300aa24e1e0,2022-09-26,38.35
62dbf1b2e7277c03b6153ee6,63311cd28511b90025aab89a,2022-09-26,38.35
62dbf1b2e7277c03b6153ee6,633131ef53a724002ca4bc48,2022-09-29,38.46
62dbf1b2e7277c03b6153ee6,633662f576273a006dd4ccfe,2022-09-30,39.36
6296f2aeba256000d93d4ccf,6343df7e958f9901b2b4078a,2022-10-10,30.7
6296f2aeba256000d93d4ccf,63441309c5a38f00569f438e,2022-10-10,38.67
62dbf1b2e7277c03b6153ee6,6344bd669de5d901363e34c8,2022-10-11,40.76
62dbf1b2e7277c03b6153ee6,6344f58599deb20219ad1f48,2022-10-12,25.0
62dbf1b2e7277c03b6153ee6,634603698c13ab0165dfc842,2022-10-12,41.25
62dbf1b2e7277c03b6153ee6,63461a687d43d802124f8770,2022-10-12,44.17
62b860bb629b80033e8a187b,634761379d83f4025a8a22f1,2022-10-13,25.0
62dbf1b2e7277c03b6153ee6,63477a21e206fa0026541a25,2022-10-13,41.04
62de387d042c4e03aab35a8b,6347b576dbc6a600371b437e,2022-10-13,30.56
62dbf1b2e7277c03b6153ee6,6348bffd0a846f001a7541ff,2022-10-14,38.28
62de387d042c4e03aab35a8b,6348f43fca875c00884045bb,2022-10-14,33.0
62dbf1b2e7277c03b6153ee6,634cb2c08c887e0259f21ec7,2022-10-17,34.05
62dbf1b2e7277c03b6153ee6,634cdad80fb54403400c63d3,2022-10-17,38.28
62dbf1b2e7277c03b6153ee6,634cdbe2436b0d0284dcaf6b,2022-10-19,38.62
62dbf1b2e7277c03b6153ee6,634f710b35fc4b0290537f60,2022-10-21,38.6
62b860bb629b80033e8a187b,634f71992f451e0284a3eca0,2022-10-19,25.0
62de387d042c4e03aab35a8b,6350f0472d9f4104335f5829,2022-10-20,34.38
62dbf1b2e7277c03b6153ee6,6352012e47a580003716f12d,2022-10-21,27.78
62dbf1b2e7277c03b6153ee6,63520ecb57de1602efc020e7,2022-10-21,29.55
62de387d042c4e03aab35a8b,63522cd5dc547400255739e8,2022-10-21,39.42
62de387d042c4e03aab35a8b,635a27943e979c0352cf2f1b,2022-10-27,33.8
62de387d042c4e03aab35a8b,6363603ba54af0003729b7dd,2022-11-03,33.82
62de387d042c4e03aab35a8b,6363659c2b8246006e63adec,2022-11-03,35.71
62dbf1b2e7277c03b6153ee6,6365d5353cf2a100799ca4e8,2022-11-05,48.08
62de387d042c4e03aab35a8b,63804a52c2fd850037a48104,2022-11-25,25.0
62de387d042c4e03aab35a8b,63805426f285cc002c3fa855,2022-11-25,35.53
62dbf1b2e7277c03b6153ee6,63914e94935620004acec571,2022-12-08,46.15
62de387d042c4e03aab35a8b,6391853d8ce5ec002c9a5c28,2022-12-08,32.65
62de387d042c4e03aab35a8b,639abb05450b390025c67ae5,2022-12-15,29.54
62de387d042c4e03aab35a8b,639ac3a654adcf007a2040ff,2022-12-15,25.0
62b910c05382d30037ccad4c,63b507193327a80109dfca2e,2023-01-04,30.56
62b910c05382d30037ccad4c,63b509a7e92a7f009eca81bb,2023-01-04,32.74
62b910c05382d30037ccad4c,63b63eb0699e80003765b439,2023-01-05,37.05
62de387d042c4e03aab35a8b,63b7b0b7033213004a402965,2023-01-06,46.74
62de387d042c4e03aab35a8b,63c0aff880d4fa011ae95c9e,2023-01-19,47.02
63ba8019471674001a3a7456,63c29339abae280185c6b4e4,2023-02-23,37.94
63ba8019471674001a3a7456,63c3e453c02d1f003787e727,2023-01-19,39.47
63ba8019471674001a3a7456,63c4c89dff7c9b017b6eab35,2023-01-16,42.0
6296f2aeba256000d93d4ccf,63c7e6304d35f2002c11ee8a,2023-01-20,29.41
62de387d042c4e03aab35a8b,63c8a01b0727280037953698,2023-01-26,28.33
62de387d042c4e03aab35a8b,63c8a899483f3f0025585123,2023-01-19,25.0
63ba8019471674001a3a7456,63c92afd1d2c61dbfce89a99,2023-02-15,43.35
